""	"0"	"0"
"17200218633560977223"	"0"	"0"
"17597256972498235486"	"0"	"25"
"8470495918768681902"	"0"	"0"
"5437595076989925763"	"2"	"19"
"10121767262470765240"	"0"	"0"
"9978289116059688680"	"1"	"12"
"13801050957174211136"	"4"	"11"
"347101222304199932"	"0"	"0"
"7582614944283045405"	"4"	"4"
"4969135363021436624"	"5"	"3"
"8623604713368496097"	"1"	"7"
"17948322562173069899"	"0"	"0"
"3005661598294449437"	"0"	"0"
"7822621148908246065"	"0"	"0"
"12993650111889667557"	"2"	"0"
"265640784521652114"	"1"	"7"
"2709446524504735906"	"0"	"0"
"1439913501036881610"	"1"	"4"
"13413317273949398303"	"2"	"2"
"10854929410844065967"	"4"	"8"
"23480307018031679"	"0"	"0"
"15671947571864180485"	"0"	"1"
"15004356442878888290"	"0"	"0"
"9081606597072342538"	"4"	"46"
"8962954501059411426"	"0"	"0"
"2657537213624397716"	"0"	"0"
"615768415335916081"	"3"	"3"
"10434997229763928446"	"0"	"26"
"18360470565833581660"	"3"	"0"
"12526526596166894173"	"1"	"0"
"3166843236192195663"	"2"	"23"
"11690757557790093336"	"0"	"0"
"692529870056066013"	"0"	"0"
"3376226952122960110"	"3"	"13"
"6929862748575598442"	"2"	"21"
"10025118775927327514"	"11"	"9"
"6911322190713225005"	"0"	"18"
"1717540812823400770"	"0"	"0"
"16781310828629088044"	"1"	"6"
"6519434595329742739"	"1"	"0"
"4594071399178965975"	"0"	"0"
"9556221552968139623"	"0"	"0"
"7957893154842579025"	"0"	"0"
"4944003448985227971"	"3"	"7"
"12317603598572057917"	"0"	"7"
"14566097579105013627"	"3"	"4"
"736719056624776701"	"0"	"0"
"7806833989646099925"	"0"	"0"
"11000583779111601121"	"0"	"0"
"15831176535948944720"	"0"	"0"
"9540758534282091359"	"9"	"19"
"11755519673293403106"	"2"	"0"
"8169146318677742876"	"9"	"9"
"11187980269061202513"	"12"	"3"
"10357671734870650567"	"0"	"0"
"1104345937340846293"	"0"	"0"
"2796642889068211356"	"14"	"5"
"336883715354745052"	"5"	"0"
"6875643103354769761"	"3"	"0"
"872891991941436848"	"0"	"0"
"13681896154766201310"	"17"	"9"
"13231756017417926064"	"0"	"0"
"3270115123307017782"	"0"	"0"
"18028858323441865951"	"12"	"32"
"7285305135530552617"	"1"	"1"
"16501420394885114477"	"15"	"0"
"10452945177610020203"	"0"	"0"
"4477606721911064965"	"0"	"2"
"692639364031775036"	"16"	"64"
"16082939657551574815"	"0"	"0"
"13066922867349840126"	"0"	"0"
"6763491264988098057"	"0"	"0"
"11993946615169947731"	"13"	"4"
"1572685096933810526"	"24"	"3"
"763284122662271347"	"1"	"14"
"10607680078577826658"	"0"	"0"
"1925571629944263238"	"2"	"18"
"11532739560791309382"	"4"	"0"
"10301658521078326355"	"0"	"2"
"16071811597336120749"	"1"	"19"
"3634303409448175471"	"0"	"0"
"16596913109677278452"	"0"	"0"
"9011177800405190403"	"1"	"0"
"8198332692296264486"	"0"	"0"
"1842372190576429895"	"1"	"12"
"3945173154016572915"	"0"	"3"
"18367043577921244812"	"1"	"64"
"9898518105010251900"	"2"	"9"
"5226469085955963830"	"11"	"7"
"914370871307613493"	"1"	"14"
"8131533183308076194"	"5"	"9"
"10075673643818569018"	"0"	"17"
"4200725332148778478"	"0"	"10"
"16466859906157878904"	"6"	"29"
"3634010930726664160"	"11"	"1"
"18207718465885799645"	"4"	"5"
"7139105368833225926"	"0"	"0"
"555256199104743189"	"42"	"20"
"13869797386716712710"	"2"	"1"
"12686561484153439319"	"0"	"0"
"18031896919373574970"	"2"	"1"
"14776205429755793294"	"1"	"35"
"8126383708985804367"	"0"	"3"
"17847688566383088484"	"1"	"3"
"8492389485823381581"	"0"	"0"
"5330828973604912754"	"0"	"29"
"5940029307484735749"	"0"	"0"
"13243337309915853256"	"0"	"2"
"14283785171331403017"	"0"	"5"
"999644944291746722"	"1"	"0"
"18186210492609695644"	"0"	"0"
"5414079965684248116"	"4"	"0"
"7042025608361916404"	"10"	"3"
"16079875313693074679"	"0"	"0"
"14867813661609613822"	"13"	"2"
"8417900000791458445"	"4"	"0"
"16769575121543978039"	"26"	"12"
"3511170393813974994"	"2"	"28"
"11758991171622644047"	"0"	"0"
"4950151481194480026"	"1"	"0"
"11594923009958831386"	"0"	"0"
"17175694075579110791"	"0"	"17"
"15458138967781985577"	"3"	"6"
"17645760952633302273"	"2"	"0"
"7841555414323198880"	"1"	"5"
"14597142936576943032"	"8"	"0"
"11642686244467502221"	"6"	"13"
"585118766076369621"	"7"	"14"
"1324168477576458496"	"5"	"8"
"15086426008078156737"	"1"	"12"
"13102300943741473819"	"0"	"0"
"16090726899148585477"	"0"	"0"
"17097407926344872644"	"0"	"0"
"12812800870502340313"	"0"	"3"
"9516388535697072538"	"0"	"0"
"5765147771039625023"	"0"	"0"
"639017751578149039"	"5"	"1"
"12998870971360623481"	"0"	"0"
"8247050450354838709"	"1"	"0"
"1001727153810824827"	"5"	"24"
"7109035006673776343"	"12"	"7"
"710708192862092304"	"6"	"2"
"16410103917969209669"	"1"	"16"
"11901351103147403021"	"5"	"0"
"6369772250854665440"	"4"	"10"
"638738136820407465"	"1"	"5"
"12709744296133693587"	"0"	"0"
"12851109013769778622"	"0"	"0"
"15632620084590879657"	"3"	"0"
"1506238703486118209"	"2"	"12"
"2507461660112086935"	"0"	"5"
"473145454289941520"	"2"	"0"
"10391060056115799216"	"4"	"13"
"5503757387547784745"	"0"	"7"
"4110836529507781646"	"0"	"0"
"735173153081046844"	"7"	"29"
"9914924177076171326"	"1"	"1"
"8533832621029150028"	"4"	"1"
"6059579624574300566"	"3"	"1"
"13591215103203174964"	"3"	"0"
"1141603925218307431"	"0"	"3"
"312768424524227714"	"20"	"4"
"8230786906285369235"	"0"	"33"
"6944823456080189914"	"1"	"0"
"16179985436327710739"	"0"	"0"
"10917621357237960492"	"1"	"43"
"10239356058748580753"	"0"	"18"
"5268648600302699429"	"0"	"0"
"6348824489503794929"	"0"	"0"
"8110478753605639630"	"2"	"11"
"12155051080341327437"	"7"	"0"
"10645258141774326611"	"24"	"21"
"8451234473240984816"	"0"	"0"
"1099924209925134065"	"4"	"0"
"644385053329827712"	"0"	"0"
"16778291376248328822"	"0"	"0"
"4254038885868669477"	"0"	"0"
"15035810050812734040"	"0"	"0"
"2485393254891999901"	"1"	"0"
"831994987405807645"	"0"	"15"
"7229278094490541409"	"1"	"20"
"1566644704097535740"	"2"	"16"
"8717736230180721741"	"1"	"18"
"6659568900188286878"	"1"	"5"
"4532003183625765961"	"0"	"0"
"1470033040145024796"	"7"	"0"
"12844715008719254471"	"1"	"0"
"12620248080072705501"	"5"	"10"
"16403000603633254834"	"0"	"0"
"7931541470205318673"	"12"	"11"
"11515660283405193805"	"6"	"6"
"1391937575132203766"	"0"	"0"
"13374826065191667078"	"0"	"0"
"12172984127799264509"	"0"	"0"
"13283253943618736245"	"3"	"1"
"4526587437898028023"	"2"	"10"
"2790639534749897389"	"0"	"6"
"2041939371197058669"	"2"	"0"
"1528635355550738441"	"0"	"0"
"9194321693009035484"	"2"	"0"
"14913337109328807785"	"5"	"5"
"12665385194263336167"	"3"	"11"
"9074180508714334781"	"1"	"17"
"1898218050822683980"	"2"	"0"
"364982147011827576"	"3"	"0"
"2541373373725179074"	"8"	"5"
"17607972050897680312"	"0"	"0"
"14925076126421368406"	"0"	"0"
"12539100468263149596"	"0"	"1"
"2361406351442265873"	"0"	"31"
"17785371142744855762"	"6"	"16"
"16677468597972556156"	"0"	"0"
"10834070490085610001"	"0"	"27"
"1328359827195239025"	"0"	"0"
"9538444262612777716"	"0"	"14"
"9219018101705137218"	"0"	"0"
"17435072595489656572"	"0"	"17"
"6888831124184553683"	"6"	"39"
"11963275816837351034"	"0"	"0"
"15080019365446347413"	"0"	"14"
"15774580536301004397"	"1"	"0"
"12357099696772859060"	"0"	"0"
"7165731766834859295"	"0"	"0"
"17075452741354756699"	"2"	"7"
"16227407154540161445"	"2"	"0"
"13464374280863961836"	"0"	"0"
"5504772423309734631"	"7"	"10"
"11641897789265033856"	"0"	"27"
"14407312886767979975"	"0"	"13"
"2727750050109323013"	"0"	"0"
"11959589490302327531"	"0"	"15"
"15308082467940695330"	"3"	"22"
"16463738742615061516"	"0"	"0"
"3381007080750599109"	"2"	"5"
"17750080139229482016"	"1"	"27"
"10723169822937620935"	"2"	"5"
"2802643966840305948"	"5"	"0"
"7192494315482931396"	"7"	"0"
"431657500073651820"	"0"	"0"
"14922517924686068609"	"0"	"0"
"9860670668515318219"	"0"	"0"
"18257996176964180316"	"1"	"13"
"5055459817108974341"	"0"	"27"
"14782246934578927658"	"0"	"0"
"14742108451918218311"	"4"	"0"
"16923112298677586501"	"6"	"11"
"9936851728299795309"	"1"	"0"
"14401491998567129519"	"2"	"3"
"6021450299050213242"	"5"	"9"
"16844054944903780759"	"0"	"5"
"1314318680086198489"	"0"	"15"
"16058868812392252316"	"6"	"4"
"6981655288541404358"	"2"	"48"
"15307835239789861955"	"1"	"12"
"9861757713836418476"	"10"	"24"
"8904738583795715269"	"0"	"0"
"12973683941146739970"	"2"	"35"
"6358513581078236321"	"0"	"0"
"238436110447289713"	"4"	"8"
"1568111486229622334"	"5"	"1"
"8120473073398958971"	"7"	"50"
"1824498341797604079"	"1"	"6"
"14516422959031970866"	"0"	"0"
"10323562268315702117"	"0"	"0"
"12857852803652980169"	"4"	"13"
"14376609251123444028"	"0"	"2"
"5826057656552325127"	"2"	"25"
"6101448256360474106"	"0"	"0"
"7285174410870011339"	"7"	"2"
"1058473769447027851"	"0"	"6"
"3491248793685189593"	"0"	"0"
"3741933751709278818"	"4"	"8"
"7605677830785572417"	"0"	"0"
"13650231334236144794"	"0"	"0"
"6922220024954665114"	"14"	"10"
"5315098912679986710"	"5"	"0"
"9482231302012510959"	"16"	"7"
"3967872545820725523"	"0"	"6"
"11907919065736255354"	"3"	"6"
"17947646344268792776"	"2"	"7"
"6469640394001848604"	"0"	"0"
"17780280227070073130"	"0"	"11"
"8185607216134939570"	"0"	"25"
"10816654763263520673"	"0"	"4"
"11555592701108070642"	"0"	"0"
"1625461271681160329"	"0"	"0"
"6235596587004564315"	"0"	"0"
"4815111759939276934"	"1"	"12"
"7952920323935929957"	"1"	"9"
"715439892316662786"	"1"	"15"
"15490879080726553951"	"11"	"25"
"1190209351207877439"	"0"	"34"
"8027845339591312742"	"14"	"3"
"1819570045680387305"	"2"	"10"
"1938663060375810997"	"9"	"22"
"4765092127792496422"	"0"	"0"
"3372645134836453568"	"1"	"23"
"4452003672140830454"	"1"	"19"
"10485423212840714788"	"2"	"2"
"15987059420938837711"	"22"	"1"
"16988925411953661149"	"5"	"9"
"3684699652146991886"	"3"	"34"
"10806819384588760285"	"16"	"15"
"9665056995793304960"	"5"	"6"
"15389204091477420269"	"0"	"0"
"14013234218877516721"	"0"	"0"
"8495766643283682773"	"0"	"0"
"17042243005806672153"	"0"	"14"
"9731812632519923401"	"5"	"2"
"17078174838756200368"	"17"	"11"
"5831585120351210352"	"0"	"0"
"17884103235741371983"	"0"	"18"
"7454357807241263216"	"10"	"10"
"10173697780419783905"	"0"	"4"
"10639794592926854511"	"0"	"0"
"15268863110567359324"	"3"	"21"
"18026423820145262245"	"1"	"22"
"2994394770380848530"	"0"	"8"
"5816416974963252682"	"2"	"32"
"7487675023739438023"	"0"	"0"
"4703122674876882695"	"0"	"0"
"13061179908815975182"	"4"	"0"
"2185150774874809556"	"0"	"0"
"5217623711091031729"	"13"	"1"
"8956198491549021629"	"0"	"0"
"7498280029777644797"	"0"	"0"
"14864529982901438809"	"4"	"4"
"8634617883415583469"	"0"	"9"
"4714407073178259501"	"6"	"12"
"13912157361182704371"	"1"	"2"
"7972984737099800219"	"7"	"10"
"11297061312940107472"	"0"	"9"
"10870002108195618785"	"0"	"7"
"3460133745660758914"	"2"	"0"
"12441624726891572241"	"17"	"12"
"16729666788269459343"	"1"	"0"
"13381687892834406659"	"1"	"0"
"9307607782411909849"	"25"	"4"
"4775727553274107503"	"2"	"16"
"14913610833735315044"	"0"	"8"
"305539769431475878"	"0"	"0"
"4589955624756916039"	"0"	"0"
"11029996868557835777"	"1"	"8"
"12548407195067688272"	"0"	"14"
"10890934758125812156"	"1"	"17"
"6359474897905721055"	"1"	"13"
"4795716712207596441"	"22"	"15"
"16506573154087321340"	"0"	"9"
"10164182703531377361"	"0"	"0"
"17794292856279851609"	"0"	"25"
"2292141295975505763"	"4"	"1"
"11282395384969991920"	"1"	"0"
"10872733400463448540"	"3"	"1"
"17360364509720112808"	"7"	"2"
"3978071150414117070"	"0"	"0"
"10108739226957082183"	"1"	"1"
"17698147798030344182"	"6"	"12"
"15191176845940634335"	"28"	"13"
"17108330623970677749"	"7"	"26"
"12549443559144549272"	"0"	"22"
"6426910147820667320"	"1"	"16"
"5365880577733188795"	"0"	"0"
"15221555459579645455"	"0"	"0"
"8062352965310603796"	"26"	"6"
"8901103102403708534"	"0"	"0"
"6105010055716599791"	"16"	"11"
"14152076874554192473"	"0"	"0"
"13491964661803164435"	"0"	"0"
"4394115856744970973"	"0"	"0"
"17035373731287482133"	"0"	"36"
"14224366882423658331"	"0"	"0"
"4274620530945574307"	"5"	"10"
"6544359387842080723"	"0"	"0"
"16629871028286408034"	"0"	"0"
"12984475774204509669"	"1"	"9"
"11370621186628182477"	"1"	"4"
"1472935377201672955"	"1"	"12"
"11264242014207863537"	"9"	"5"
"2717118625854237215"	"0"	"0"
"11406227366386244827"	"0"	"24"
"13079773439289293869"	"0"	"0"
"5406571200703053888"	"0"	"0"
"9187089198805594638"	"2"	"0"
"16490708256886546367"	"0"	"2"
"12821548119874188566"	"1"	"5"
"4725445378217093438"	"6"	"12"
"2246124274659537904"	"17"	"13"
"5992543343617916516"	"0"	"0"
"15588543498481755839"	"0"	"0"
"4891674481642080428"	"0"	"5"
"9293927088515098369"	"0"	"1"
"8344252575799957572"	"1"	"0"
"15913209474145158949"	"0"	"3"
"11775481836302152248"	"0"	"0"
"26768966025727737"	"3"	"2"
"7158948046431041029"	"10"	"0"
"16293764181797684110"	"0"	"1"
"16548590329634001583"	"2"	"0"
"7650852832867674008"	"1"	"3"
"18428749465993921069"	"8"	"1"
"9259062558786036618"	"0"	"1"
"483538246629254650"	"1"	"0"
"6077253387641607557"	"39"	"3"
"1975066483389279529"	"0"	"0"
"17980811037684122841"	"0"	"0"
"17776733059003091715"	"0"	"0"
"15043915283338505754"	"6"	"18"
"15806319440716242013"	"3"	"27"
"998905488529553509"	"1"	"0"
"3970720633651393715"	"7"	"1"
"13641350094684458307"	"43"	"23"
"14881506588595722170"	"0"	"0"
"10450937551023149981"	"0"	"0"
"1026992197140725601"	"6"	"0"
"4903008498113087673"	"3"	"3"
"1580996990975712678"	"15"	"7"
"18282409755244513541"	"8"	"1"
"7500602852953149778"	"0"	"29"
"35735584877155878"	"2"	"0"
"12410862391103182562"	"9"	"0"
"18103776810801428685"	"0"	"0"
"435515704312492069"	"8"	"3"
"13966890450434906878"	"9"	"19"
"10419638455288387263"	"47"	"13"
"17946213291265202871"	"11"	"0"
"18355644945492619316"	"10"	"16"
"1512112653055887875"	"0"	"0"
"2680772703289253876"	"0"	"1"
"12284551268748142328"	"1"	"0"
"8468897270163076882"	"5"	"24"
"2656775593116814839"	"2"	"49"
"11173411281080623997"	"7"	"1"
"17389545255708990133"	"0"	"0"
"2858855837571928375"	"1"	"3"
"7114082863798299104"	"2"	"1"
"15363435225343605206"	"2"	"30"
"2799793891279597268"	"0"	"0"
"15903005085125932790"	"9"	"3"
"16618052564784324306"	"0"	"0"
"5446609147427552602"	"1"	"0"
"5099401071045141350"	"0"	"0"
"7418167336521628102"	"1"	"7"
"7308408706742979629"	"0"	"7"
"9494554736050894482"	"6"	"0"
"11500161571723801706"	"1"	"0"
"7920757286531280395"	"1"	"16"
"11081962168973468706"	"0"	"0"
"9665720383481198916"	"15"	"6"
"17205346068943209239"	"0"	"1"
"9407645548124681383"	"3"	"9"
"15655405660829599671"	"3"	"5"
"8849323901926653084"	"6"	"9"
"7854834239303473548"	"3"	"3"
"6414468964642328933"	"0"	"3"
"15230857821784878973"	"0"	"62"
"4958787718050007739"	"7"	"26"
"7210107172500808850"	"3"	"0"
"7408130318270327269"	"0"	"0"
"17797145840602625129"	"10"	"40"
"6018660907435103505"	"1"	"22"
"2054265128644875681"	"0"	"0"
"10474107830094540266"	"0"	"0"
"9473618089176112264"	"0"	"8"
"1077384108301435717"	"0"	"0"
"6663699002577949481"	"1"	"29"
"6980804343210013848"	"0"	"12"
"14315192878101113766"	"0"	"0"
"1885689250014585137"	"0"	"0"
"180283205582975557"	"0"	"10"
"8223507533296043839"	"23"	"45"
